"Scenario name","Filename we sent to server","Filename we got back","Server response code on upload","Filename comparison result"
"a sequence containing á at position 1","fileáname.txt","fileáname.txt","201","exact"
"a sequence containing é at position 1","fileéname.txt","fileéname.txt","201","exact"
"a sequence containing ä at position 1","fileäname.txt","fileäname.txt","201","exact"
"a sequence containing © at position 1","file©name.txt","file©name.txt","201","exact"
"a sequence containing µ at position 1","fileµname.txt","fileµname.txt","201","exact"
"a sequence containing ñ at position 1","fileñname.txt","fileñname.txt","201","exact"
"a sequence containing § at position 1","file§name.txt","file§name.txt","201","exact"
"a sequence containing œ at position 1","fileœname.txt","fileœname.txt","201","exact"
"a sequence containing ∑ at position 1","file∑name.txt","file∑name.txt","201","exact"
"a sequence containing ´ at position 1","file´name.txt","file´name.txt","201","exact"
"a sequence containing ® at position 1","file®name.txt","file®name.txt","201","exact"
"a sequence containing † at position 1","file†name.txt","file†name.txt","201","exact"
"a sequence containing ¥ at position 1","file¥name.txt","file¥name.txt","201","exact"
"a sequence containing ¨ at position 1","file¨name.txt","file¨name.txt","201","exact"
"a sequence containing ˆ at position 1","fileˆname.txt","fileˆname.txt","201","exact"
"a sequence containing ø at position 1","fileøname.txt","fileøname.txt","201","exact"
"a sequence containing π at position 1","fileπname.txt","fileπname.txt","201","exact"
"a sequence containing “ at position 1","file“name.txt","file“name.txt","201","exact"
"a sequence containing ‘ at position 1","file‘name.txt","file‘name.txt","201","exact"
"a sequence containing 部落格 at position 1","file部落格name.txt","file部落格name.txt","201","exact"
"a sequence containing  ͡° ͜ʖ ͡° at position 1","file ͡° ͜ʖ ͡°name.txt","file ͡° ͜ʖ ͡°name.txt","201","exact"
"a sequence containing 👩🏽 at position 1","file👩🏽name.txt","","400",""
"a sequence containing Ⱥ at position 1","fileȺname.txt","fileȺname.txt","201","exact"
"a sequence containing ⱥ at position 1","fileⱥname.txt","","409",""
"a sequence containing 💩 at position 1","file💩name.txt","","400",""
"leading dot",".filename",".filename","201","exact"
"trailing dot","filename.","filename.","201","exact"
"interior dot","file.name","file.name","201","exact"
"no extension","afile","afile","201","exact"
"multiple dots","..afile.txt","..afile.txt","201","exact"
"windows reserved word","$Volume.txt","$Volume.txt","201","exact"
"UPPER CASE FILENAME","FILENAME.TXT","FILENAME.TXT","201","exact"
"lowercase filename","filename.txt","","409",""
"Mixed Case Filename","fIlEnAmE.txt","","409",""
"a sequence containing # at position 0","#filename.txt","#filename.txt","201","exact"
"a sequence containing % at position 0","%filename.txt","%filename.txt","201","exact"
"a sequence containing ? at position 0","?filename.txt","?filename.txt","201","exact"
"a sequence containing [ at position 0","[filename.txt","[filename.txt","201","exact"
"a sequence containing ] at position 0","]filename.txt","]filename.txt","201","exact"
"a sequence containing { at position 0","{filename.txt","{filename.txt","201","exact"
"a sequence containing } at position 0","}filename.txt","}filename.txt","201","exact"
"a sequence containing ( at position 0","(filename.txt","(filename.txt","201","exact"
"a sequence containing ) at position 0",")filename.txt",")filename.txt","201","exact"
"a sequence containing < at position 0","<filename.txt","<filename.txt","201","exact"
"a sequence containing > at position 0",">filename.txt",">filename.txt","201","exact"
"a sequence containing | at position 0","|filename.txt","|filename.txt","201","exact"
"a sequence containing ~ at position 0","~filename.txt","~filename.txt","201","exact"
"a sequence containing ` at position 0","`filename.txt","`filename.txt","201","exact"
"a sequence containing ! at position 0","!filename.txt","!filename.txt","201","exact"
"a sequence containing @ at position 0","@filename.txt","@filename.txt","201","exact"
"a sequence containing   at position 0"," filename.txt","","409",""
"a sequence containing $ at position 0","$filename.txt","$filename.txt","201","exact"
"a sequence containing ^ at position 0","^filename.txt","^filename.txt","201","exact"
"a sequence containing & at position 0","&filename.txt","&filename.txt","201","exact"
"a sequence containing * at position 0","*filename.txt","*filename.txt","201","exact"
"a sequence containing + at position 0","+filename.txt","+filename.txt","201","exact"
"a sequence containing = at position 0","=filename.txt","=filename.txt","201","exact"
"a sequence containing , at position 0",",filename.txt",",filename.txt","201","exact"
"a sequence containing ; at position 0",";filename.txt",";filename.txt","201","exact"
"a sequence containing : at position 0",":filename.txt",":filename.txt","201","exact"
"a sequence containing . at position 0",".filename.txt",".filename.txt","201","exact"
"a sequence containing - at position 0","-filename.txt","-filename.txt","201","exact"
"a sequence containing _ at position 0","_filename.txt","_filename.txt","201","exact"
"a sequence containing ' at position 0","'filename.txt","'filename.txt","201","exact"
"a sequence containing "" at position 0","""filename.txt","""filename.txt","201","exact"
"a sequence containing / at position 0","/filename.txt","","400",""
"a sequence containing \ at position 0","\filename.txt","","400",""
"a sequence containing 	 at position 0","	filename.txt","","409",""
"a sequence containing 
 at position 0","
filename.txt","","409",""
"a sequence containing 
 at position 0","
filename.txt","","409",""
"a sequence containing # at position 1","file#name.txt","file#name.txt","201","exact"
"a sequence containing % at position 1","file%name.txt","file%name.txt","201","exact"
"a sequence containing ? at position 1","file?name.txt","file?name.txt","201","exact"
"a sequence containing [ at position 1","file[name.txt","file[name.txt","201","exact"
"a sequence containing ] at position 1","file]name.txt","file]name.txt","201","exact"
"a sequence containing { at position 1","file{name.txt","file{name.txt","201","exact"
"a sequence containing } at position 1","file}name.txt","file}name.txt","201","exact"
"a sequence containing ( at position 1","file(name.txt","file(name.txt","201","exact"
"a sequence containing ) at position 1","file)name.txt","file)name.txt","201","exact"
"a sequence containing < at position 1","file<name.txt","file<name.txt","201","exact"
"a sequence containing > at position 1","file>name.txt","file>name.txt","201","exact"
"a sequence containing | at position 1","file|name.txt","file|name.txt","201","exact"
"a sequence containing ~ at position 1","file~name.txt","file~name.txt","201","exact"
"a sequence containing ` at position 1","file`name.txt","file`name.txt","201","exact"
"a sequence containing ! at position 1","file!name.txt","file!name.txt","201","exact"
"a sequence containing @ at position 1","file@name.txt","file@name.txt","201","exact"
"a sequence containing   at position 1","file name.txt","file name.txt","201","exact"
"a sequence containing $ at position 1","file$name.txt","file$name.txt","201","exact"
"a sequence containing ^ at position 1","file^name.txt","file^name.txt","201","exact"
"a sequence containing & at position 1","file&name.txt","file&name.txt","201","exact"
"a sequence containing * at position 1","file*name.txt","file*name.txt","201","exact"
"a sequence containing + at position 1","file+name.txt","file+name.txt","201","exact"
"a sequence containing = at position 1","file=name.txt","file=name.txt","201","exact"
"a sequence containing , at position 1","file,name.txt","file,name.txt","201","exact"
"a sequence containing ; at position 1","file;name.txt","file;name.txt","201","exact"
"a sequence containing : at position 1","file:name.txt","file:name.txt","201","exact"
"a sequence containing . at position 1","file.name.txt","file.name.txt","201","exact"
"a sequence containing - at position 1","file-name.txt","file-name.txt","201","exact"
"a sequence containing _ at position 1","file_name.txt","file_name.txt","201","exact"
"a sequence containing ' at position 1","file'name.txt","file'name.txt","201","exact"
"a sequence containing "" at position 1","file""name.txt","file""name.txt","201","exact"
"a sequence containing / at position 1","file/name.txt","","400",""
"a sequence containing \ at position 1","file\name.txt","","400",""
"a sequence containing 	 at position 1","file	name.txt","","400",""
"a sequence containing 
 at position 1","file
name.txt","","400",""
"a sequence containing 
 at position 1","file
name.txt","","400",""
"a sequence containing # at position -1","filename.txt#","filename.txt#","201","exact"
"a sequence containing % at position -1","filename.txt%","filename.txt%","201","exact"
"a sequence containing ? at position -1","filename.txt?","filename.txt?","201","exact"
"a sequence containing [ at position -1","filename.txt[","filename.txt[","201","exact"
"a sequence containing ] at position -1","filename.txt]","filename.txt]","201","exact"
"a sequence containing { at position -1","filename.txt{","filename.txt{","201","exact"
"a sequence containing } at position -1","filename.txt}","filename.txt}","201","exact"
"a sequence containing ( at position -1","filename.txt(","filename.txt(","201","exact"
"a sequence containing ) at position -1","filename.txt)","filename.txt)","201","exact"
"a sequence containing < at position -1","filename.txt<","filename.txt<","201","exact"
"a sequence containing > at position -1","filename.txt>","filename.txt>","201","exact"
"a sequence containing | at position -1","filename.txt|","filename.txt|","201","exact"
"a sequence containing ~ at position -1","filename.txt~","filename.txt~","201","exact"
"a sequence containing ` at position -1","filename.txt`","filename.txt`","201","exact"
"a sequence containing ! at position -1","filename.txt!","filename.txt!","201","exact"
"a sequence containing @ at position -1","filename.txt@","filename.txt@","201","exact"
"a sequence containing   at position -1","filename.txt ","","409",""
"a sequence containing $ at position -1","filename.txt$","filename.txt$","201","exact"
"a sequence containing ^ at position -1","filename.txt^","filename.txt^","201","exact"
"a sequence containing & at position -1","filename.txt&","filename.txt&","201","exact"
"a sequence containing * at position -1","filename.txt*","filename.txt*","201","exact"
"a sequence containing + at position -1","filename.txt+","filename.txt+","201","exact"
"a sequence containing = at position -1","filename.txt=","filename.txt=","201","exact"
"a sequence containing , at position -1","filename.txt,","filename.txt,","201","exact"
"a sequence containing ; at position -1","filename.txt;","filename.txt;","201","exact"
"a sequence containing : at position -1","filename.txt:","filename.txt:","201","exact"
"a sequence containing . at position -1","filename.txt.","filename.txt.","201","exact"
"a sequence containing - at position -1","filename.txt-","filename.txt-","201","exact"
"a sequence containing _ at position -1","filename.txt_","filename.txt_","201","exact"
"a sequence containing ' at position -1","filename.txt'","filename.txt'","201","exact"
"a sequence containing "" at position -1","filename.txt""","filename.txt""","201","exact"
"a sequence containing / at position -1","filename.txt/","","409",""
"a sequence containing \ at position -1","filename.txt\","","400",""
"a sequence containing 	 at position -1","filename.txt	","","409",""
"a sequence containing 
 at position -1","filename.txt
","","409",""
"a sequence containing 
 at position -1","filename.txt
","","409",""
