"Scenario name","Filename we sent to server","Filename we got back","Server response code on upload","Filename comparison result"
"a basic filename test","filename.txt","","201","False"
"a sequence containing á at position 1","fileáname.txt","","201","False"
"a sequence containing é at position 1","fileéname.txt","","201","False"
"a sequence containing ä at position 1","fileäname.txt","","201","False"
"a sequence containing © at position 1","file©name.txt","","201","False"
"a sequence containing µ at position 1","fileµname.txt","","201","False"
"a sequence containing ñ at position 1","fileñname.txt","","201","False"
"a sequence containing § at position 1","file§name.txt","","201","False"
"a sequence containing œ at position 1","fileœname.txt","","201","False"
"a sequence containing ∑ at position 1","file∑name.txt","","201","False"
"a sequence containing ´ at position 1","file´name.txt","","201","False"
"a sequence containing ® at position 1","file®name.txt","","201","False"
"a sequence containing † at position 1","file†name.txt","","201","False"
"a sequence containing ¥ at position 1","file¥name.txt","","201","False"
"a sequence containing ¨ at position 1","file¨name.txt","","201","False"
"a sequence containing ˆ at position 1","fileˆname.txt","","201","False"
"a sequence containing ø at position 1","fileøname.txt","","201","False"
"a sequence containing π at position 1","fileπname.txt","","201","False"
"a sequence containing “ at position 1","file“name.txt","","201","False"
"a sequence containing ‘ at position 1","file‘name.txt","","201","False"
"a sequence containing 部落格 at position 1","file部落格name.txt","","201","False"
"a sequence containing  ͡° ͜ʖ ͡° at position 1","file ͡° ͜ʖ ͡°name.txt","","201","False"
"a sequence containing 👩🏽 at position 1","file👩🏽name.txt","","201","False"
"a sequence containing Ⱥ at position 1","fileȺname.txt","","201","False"
"a sequence containing ⱥ at position 1","fileⱥname.txt","","201","False"
"a sequence containing 💩 at position 1","file💩name.txt","","201","False"
"leading dot",".filename","","201","False"
"trailing dot","filename.","","201","False"
"interior dot","file.name","","201","False"
"no extension","afile","","201","False"
"multiple dots","..afile.txt","","201","False"
"windows reserved word","$Volume.txt","","201","False"
"UPPER CASE FILENAME","FILENAME.TXT","","201","False"
"lowercase filename","filename.txt","","201","False"
"Mixed Case Filename","fIlEnAmE.txt","","201","False"
"Contains HTML","filename containing <img src=onerror=""alert('Hello world')""> html","","400","False"
"a sequence containing # at position 0","#filename.txt","","400","False"
"a sequence containing % at position 0","%filename.txt","","201","False"
"a sequence containing ? at position 0","?filename.txt","","400","False"
"a sequence containing [ at position 0","[filename.txt","","201","False"
"a sequence containing ] at position 0","]filename.txt","","201","False"
"a sequence containing { at position 0","{filename.txt","","201","False"
"a sequence containing } at position 0","}filename.txt","","201","False"
"a sequence containing ( at position 0","(filename.txt","","201","False"
"a sequence containing ) at position 0",")filename.txt","","201","False"
"a sequence containing < at position 0","<filename.txt","","400","False"
"a sequence containing > at position 0",">filename.txt","","400","False"
"a sequence containing | at position 0","|filename.txt","","400","False"
"a sequence containing ~ at position 0","~filename.txt","","201","False"
"a sequence containing ` at position 0","`filename.txt","","201","False"
"a sequence containing ! at position 0","!filename.txt","","201","False"
"a sequence containing @ at position 0","@filename.txt","","201","False"
"a sequence containing   at position 0"," filename.txt","","201","False"
"a sequence containing $ at position 0","$filename.txt","","201","False"
"a sequence containing ^ at position 0","^filename.txt","","201","False"
"a sequence containing & at position 0","&filename.txt","","201","False"
"a sequence containing * at position 0","*filename.txt","","400","False"
"a sequence containing + at position 0","+filename.txt","","201","False"
"a sequence containing = at position 0","=filename.txt","","201","False"
"a sequence containing , at position 0",",filename.txt","","201","False"
"a sequence containing ; at position 0",";filename.txt","","400","False"
"a sequence containing : at position 0",":filename.txt","","400","False"
"a sequence containing       at position 0","     filename.txt","","201","False"
"a sequence containing . at position 0",".filename.txt","","201","False"
"a sequence containing - at position 0","-filename.txt","","201","False"
"a sequence containing _ at position 0","_filename.txt","","201","False"
"a sequence containing ' at position 0","'filename.txt","","201","False"
"a sequence containing "" at position 0","""filename.txt","","400","False"
"a sequence containing / at position 0","/filename.txt","","201","False"
"a sequence containing \ at position 0","\filename.txt","","400","False"
"a sequence containing  at position 0","filename.txt","","201","False"
"a sequence containing 	 at position 0","	filename.txt","","201","False"
"a sequence containing 
 at position 0","
filename.txt","","201","False"
"a sequence containing 
 at position 0","
filename.txt","","201","False"
"a sequence containing 
 at position 0","
filename.txt","","201","False"
"a sequence containing # at position 1","file#name.txt","","400","False"
"a sequence containing % at position 1","file%name.txt","","201","False"
"a sequence containing ? at position 1","file?name.txt","","400","False"
"a sequence containing [ at position 1","file[name.txt","","201","False"
"a sequence containing ] at position 1","file]name.txt","","201","False"
"a sequence containing { at position 1","file{name.txt","","201","False"
"a sequence containing } at position 1","file}name.txt","","201","False"
"a sequence containing ( at position 1","file(name.txt","","201","False"
"a sequence containing ) at position 1","file)name.txt","","201","False"
"a sequence containing < at position 1","file<name.txt","","400","False"
"a sequence containing > at position 1","file>name.txt","","400","False"
"a sequence containing | at position 1","file|name.txt","","400","False"
"a sequence containing ~ at position 1","file~name.txt","","201","False"
"a sequence containing ` at position 1","file`name.txt","","201","False"
"a sequence containing ! at position 1","file!name.txt","","201","False"
"a sequence containing @ at position 1","file@name.txt","","201","False"
"a sequence containing   at position 1","file name.txt","","201","False"
"a sequence containing $ at position 1","file$name.txt","","201","False"
"a sequence containing ^ at position 1","file^name.txt","","201","False"
"a sequence containing & at position 1","file&name.txt","","201","False"
"a sequence containing * at position 1","file*name.txt","","400","False"
"a sequence containing + at position 1","file+name.txt","","201","False"
"a sequence containing = at position 1","file=name.txt","","201","False"
"a sequence containing , at position 1","file,name.txt","","201","False"
"a sequence containing ; at position 1","file;name.txt","","400","False"
"a sequence containing : at position 1","file:name.txt","","400","False"
"a sequence containing       at position 1","file     name.txt","","201","False"
"a sequence containing . at position 1","file.name.txt","","201","False"
"a sequence containing - at position 1","file-name.txt","","201","False"
"a sequence containing _ at position 1","file_name.txt","","201","False"
"a sequence containing ' at position 1","file'name.txt","","201","False"
"a sequence containing "" at position 1","file""name.txt","","400","False"
"a sequence containing / at position 1","file/name.txt","","201","False"
"a sequence containing \ at position 1","file\name.txt","","400","False"
"a sequence containing  at position 1","filename.txt","","201","False"
"a sequence containing 	 at position 1","file	name.txt","","201","False"
"a sequence containing 
 at position 1","file
name.txt","","201","False"
"a sequence containing 
 at position 1","file
name.txt","","201","False"
"a sequence containing 
 at position 1","file
name.txt","","201","False"
"a sequence containing # at position -1","filename.txt#","","400","False"
"a sequence containing % at position -1","filename.txt%","","201","False"
"a sequence containing ? at position -1","filename.txt?","","400","False"
"a sequence containing [ at position -1","filename.txt[","","201","False"
"a sequence containing ] at position -1","filename.txt]","","201","False"
"a sequence containing { at position -1","filename.txt{","","201","False"
"a sequence containing } at position -1","filename.txt}","","201","False"
"a sequence containing ( at position -1","filename.txt(","","201","False"
"a sequence containing ) at position -1","filename.txt)","","201","False"
"a sequence containing < at position -1","filename.txt<","","400","False"
"a sequence containing > at position -1","filename.txt>","","400","False"
"a sequence containing | at position -1","filename.txt|","","400","False"
"a sequence containing ~ at position -1","filename.txt~","","201","False"
"a sequence containing ` at position -1","filename.txt`","","201","False"
"a sequence containing ! at position -1","filename.txt!","","201","False"
"a sequence containing @ at position -1","filename.txt@","","201","False"
"a sequence containing   at position -1","filename.txt ","","201","False"
"a sequence containing $ at position -1","filename.txt$","","201","False"
"a sequence containing ^ at position -1","filename.txt^","","201","False"
"a sequence containing & at position -1","filename.txt&","","201","False"
"a sequence containing * at position -1","filename.txt*","","400","False"
"a sequence containing + at position -1","filename.txt+","","201","False"
"a sequence containing = at position -1","filename.txt=","","201","False"
"a sequence containing , at position -1","filename.txt,","","201","False"
"a sequence containing ; at position -1","filename.txt;","","400","False"
"a sequence containing : at position -1","filename.txt:","","400","False"
"a sequence containing       at position -1","filename.txt     ","","201","False"
"a sequence containing . at position -1","filename.txt.","","201","False"
"a sequence containing - at position -1","filename.txt-","","201","False"
"a sequence containing _ at position -1","filename.txt_","","201","False"
"a sequence containing ' at position -1","filename.txt'","","201","False"
"a sequence containing "" at position -1","filename.txt""","","400","False"
"a sequence containing / at position -1","filename.txt/","","201","False"
"a sequence containing \ at position -1","filename.txt\","","400","False"
"a sequence containing  at position -1","filename.txt","","201","False"
"a sequence containing 	 at position -1","filename.txt	","","201","False"
"a sequence containing 
 at position -1","filename.txt
","","201","False"
"a sequence containing 
 at position -1","filename.txt
","","201","False"
"a sequence containing 
 at position -1","filename.txt
","","201","False"
