"Scenario name","Filename we sent to server","Filename we got back","Server response code on upload","Filename comparison result"
"a basic filename test","filename.txt","filename.txt","200","exact"
"a sequence containing á at position 1","fileáname.txt","fileáname.txt","200","exact"
"a sequence containing é at position 1","fileéname.txt","fileéname.txt","200","exact"
"a sequence containing ä at position 1","fileäname.txt","fileäname.txt","200","exact"
"a sequence containing © at position 1","file©name.txt","file©name.txt","200","exact"
"a sequence containing µ at position 1","fileµname.txt","fileµname.txt","200","exact"
"a sequence containing ñ at position 1","fileñname.txt","fileñname.txt","200","exact"
"a sequence containing § at position 1","file§name.txt","file§name.txt","200","exact"
"a sequence containing œ at position 1","fileœname.txt","fileœname.txt","200","exact"
"a sequence containing ∑ at position 1","file∑name.txt","file∑name.txt","200","exact"
"a sequence containing ´ at position 1","file´name.txt","file´name.txt","200","exact"
"a sequence containing ® at position 1","file®name.txt","file®name.txt","200","exact"
"a sequence containing † at position 1","file†name.txt","file†name.txt","200","exact"
"a sequence containing ¥ at position 1","file¥name.txt","file¥name.txt","200","exact"
"a sequence containing ¨ at position 1","file¨name.txt","file¨name.txt","200","exact"
"a sequence containing ˆ at position 1","fileˆname.txt","fileˆname.txt","200","exact"
"a sequence containing ø at position 1","fileøname.txt","fileøname.txt","200","exact"
"a sequence containing π at position 1","fileπname.txt","fileπname.txt","200","exact"
"a sequence containing “ at position 1","file“name.txt","file“name.txt","200","exact"
"a sequence containing ‘ at position 1","file‘name.txt","file‘name.txt","200","exact"
"a sequence containing 部落格 at position 1","file部落格name.txt","file部落格name.txt","200","exact"
"a sequence containing  ͡° ͜ʖ ͡° at position 1","file ͡° ͜ʖ ͡°name.txt","file ͡° ͜ʖ ͡°name.txt","200","exact"
"a sequence containing 👩🏽 at position 1","file👩🏽name.txt","","400","False"
"a sequence containing Ⱥ at position 1","fileȺname.txt","fileȺname.txt","200","exact"
"a sequence containing ⱥ at position 1","fileⱥname.txt","fileⱥname.txt","200","exact"
"a sequence containing 💩 at position 1","file💩name.txt","","400","False"
"leading dot",".filename",".filename","200","exact"
"trailing dot","filename.","filename.","200","exact"
"interior dot","file.name","file.name","200","exact"
"no extension","afile","afile","200","exact"
"multiple dots","..afile.txt","..afile.txt","200","exact"
"windows reserved word","$Volume.txt","$Volume.txt","200","exact"
"UPPER CASE FILENAME","FILENAME.TXT","filename.txt","200","False"
"lowercase filename","filename.txt","filename.txt","200","exact"
"Mixed Case Filename","fIlEnAmE.txt","filename.txt","200","False"
"Contains HTML","filename containing <img src=onerror=""alert('Hello world')""> html","filename containing <img src=onerror=""alert('Hello world')""> html","200","exact"
"a sequence containing # at position 0","#filename.txt","#filename.txt","200","exact"
"a sequence containing % at position 0","%filename.txt","%filename.txt","200","exact"
"a sequence containing ? at position 0","?filename.txt","?filename.txt","200","exact"
"a sequence containing [ at position 0","[filename.txt","[filename.txt","200","exact"
"a sequence containing ] at position 0","]filename.txt","]filename.txt","200","exact"
"a sequence containing { at position 0","{filename.txt","{filename.txt","200","exact"
"a sequence containing } at position 0","}filename.txt","}filename.txt","200","exact"
"a sequence containing ( at position 0","(filename.txt","(filename.txt","200","exact"
"a sequence containing ) at position 0",")filename.txt",")filename.txt","200","exact"
"a sequence containing < at position 0","<filename.txt","<filename.txt","200","exact"
"a sequence containing > at position 0",">filename.txt",">filename.txt","200","exact"
"a sequence containing | at position 0","|filename.txt","|filename.txt","200","exact"
"a sequence containing ~ at position 0","~filename.txt","~filename.txt","200","exact"
"a sequence containing ` at position 0","`filename.txt","`filename.txt","200","exact"
"a sequence containing ! at position 0","!filename.txt","!filename.txt","200","exact"
"a sequence containing @ at position 0","@filename.txt","@filename.txt","200","exact"
"a sequence containing   at position 0"," filename.txt"," filename.txt","200","exact"
"a sequence containing $ at position 0","$filename.txt","$filename.txt","200","exact"
"a sequence containing ^ at position 0","^filename.txt","^filename.txt","200","exact"
"a sequence containing & at position 0","&filename.txt","&filename.txt","200","exact"
"a sequence containing * at position 0","*filename.txt","*filename.txt","200","exact"
