"Scenario name","Filename we sent to server","Filename we got back","Server response code on upload","Filename comparison result"
"a basic filename test","filename.txt","","200","False"
"a sequence containing á at position 1","fileáname.txt","","200","False"
"a sequence containing é at position 1","fileéname.txt","","200","False"
"a sequence containing ä at position 1","fileäname.txt","","200","False"
"a sequence containing © at position 1","file©name.txt","","200","False"
"a sequence containing µ at position 1","fileµname.txt","","200","False"
"a sequence containing ñ at position 1","fileñname.txt","","200","False"
"a sequence containing § at position 1","file§name.txt","","200","False"
"a sequence containing œ at position 1","fileœname.txt","","200","False"
"a sequence containing ∑ at position 1","file∑name.txt","","200","False"
"a sequence containing ´ at position 1","file´name.txt","","200","False"
"a sequence containing ® at position 1","file®name.txt","","200","False"
"a sequence containing † at position 1","file†name.txt","","200","False"
"a sequence containing ¥ at position 1","file¥name.txt","","200","False"
"a sequence containing ¨ at position 1","file¨name.txt","","200","False"
"a sequence containing ˆ at position 1","fileˆname.txt","","200","False"
"a sequence containing ø at position 1","fileøname.txt","","200","False"
"a sequence containing π at position 1","fileπname.txt","","200","False"
"a sequence containing “ at position 1","file“name.txt","","200","False"
"a sequence containing ‘ at position 1","file‘name.txt","","200","False"
"a sequence containing 部落格 at position 1","file部落格name.txt","","200","False"
"a sequence containing  ͡° ͜ʖ ͡° at position 1","file ͡° ͜ʖ ͡°name.txt","","200","False"
"a sequence containing 👩🏽 at position 1","file👩🏽name.txt","","200","False"
"a sequence containing Ⱥ at position 1","fileȺname.txt","","200","False"
"a sequence containing ⱥ at position 1","fileⱥname.txt","","200","False"
"a sequence containing 💩 at position 1","file💩name.txt","","200","False"
"leading dot",".filename","","200","False"
"trailing dot","filename.","","200","False"
"interior dot","file.name","","200","False"
"no extension","afile","","200","False"
"multiple dots","..afile.txt","","200","False"
"windows reserved word","$Volume.txt","","200","False"
"UPPER CASE FILENAME","FILENAME.TXT","","200","False"
"lowercase filename","filename.txt","","200","False"
"Mixed Case Filename","fIlEnAmE.txt","","200","False"
"Contains HTML","filename containing <img src=onerror=""alert('Hello world')""> html","","200","False"
"a sequence containing # at position 0","#filename.txt","","200","False"
"a sequence containing % at position 0","%filename.txt","","200","False"
"a sequence containing ? at position 0","?filename.txt","","200","False"
"a sequence containing [ at position 0","[filename.txt","","200","False"
"a sequence containing ] at position 0","]filename.txt","","200","False"
"a sequence containing { at position 0","{filename.txt","","200","False"
